onboardID	acxiom	ancestry	beenverified	clubhouse	infinitemediaconcepts	intel	mcdonalds	mediaocean	mylife	name	neustar	oracle	quora	target	tesla	thomsonreuters	tmobile	twitter	uber	walgreens	walmart	xfinity
949	0	0	0	0	0	0	0	0	0	Torrence	0	1	0	0	0	0	1	1	0	0	0	0
733	0	0	0	0	0	0	1	0	0	Noel	0	0	1	1	0	0	0	1	1	0	1	0
297	0	1	0	0	0	0	0	0	0	Ova	0	0	0	0	0	0	0	0	0	0	0	0
930	0	1	0	0	0	0	1	0	0	Bennett	0	0	0	0	0	0	1	1	1	1	0	0
938	0	0	0	0	0	0	0	1	0	Tilman	0	0	0	1	0	0	0	0	0	0	0	0
260	0	0	0	0	0	1	0	0	0	Latarsha	0	0	1	1	0	0	0	1	1	0	0	0
885	0	0	0	0	0	0	0	0	0	Gina	0	0	0	0	0	0	0	0	0	1	0	0
819	0	0	0	0	0	1	0	0	0	Dezzie	0	0	0	1	0	0	0	0	0	0	0	0
898	0	0	0	0	0	0	0	0	0	Dominik	0	0	1	1	0	0	0	0	1	0	0	0
282	0	0	0	1	0	0	0	0	0	Ryley	0	1	1	0	0	0	0	0	0	1	1	0
284	0	0	0	0	0	0	0	0	0	Winfield	0	0	0	0	0	0	1	0	1	0	0	0
930	0	1	0	0	0	0	1	0	0	Bridget	0	0	0	0	0	0	1	1	1	1	0	0
258	0	0	0	0	0	0	0	0	0	Albin	0	0	0	0	0	0	1	1	0	1	0	1
530	1	0	0	0	0	0	1	0	0	Delmar	0	0	0	1	0	0	0	1	0	0	1	0
137	0	0	0	0	0	0	0	0	0	Concha	0	0	0	0	0	0	0	1	0	0	0	0
568	0	0	0	0	0	0	0	0	0	Dayse	0	0	1	1	0	0	1	0	1	0	0	0
44	0	0	0	0	0	0	1	0	0	Donaciano	0	0	0	0	0	0	0	0	0	0	0	0
647	0	0	0	0	0	0	1	0	0	Brittnee	0	0	0	0	0	0	1	0	1	1	1	0
211	0	1	0	0	0	0	0	0	0	Kieran	0	0	0	0	0	0	1	0	1	0	1	0
287	1	0	0	0	1	0	0	0	0	Sharman	0	0	0	1	0	0	0	0	0	1	1	0
798	0	0	1	0	0	0	0	0	0	Vela	0	0	0	0	0	0	0	0	0	0	0	0
613	0	0	0	0	0	0	0	0	0	Violet	0	0	0	0	0	0	1	1	0	0	0	0
